product_id,product_title,variant_id,old_price,new_price,old_compare_at,new_compare_at
gid://shopify/Product/8537651577142,PHARMA GERMANIA - Knotgrass - 75g,gid://shopify/ProductVariant/45992632320310,55.29,55.00,,
gid://shopify/Product/8537665732918,PHARMA GERMANIA - Lemon Balm - 60g,gid://shopify/ProductVariant/45992730132790,62.63,62.00,,
gid://shopify/Product/8537745162550,PHARMA GERMANIA - Oregano - 75g,gid://shopify/ProductVariant/45993427894582,44.22,44.00,,
gid://shopify/Product/8537819709750,PHARMA GERMANIA - Rest Harrow Root - 100g,gid://shopify/ProductVariant/45993914040630,23.82,23.00,,
gid://shopify/Product/8537858015542,PHARMA GERMANIA - Star Anise - 75g,gid://shopify/ProductVariant/45994207281462,58.88,58.00,,
gid://shopify/Product/8538013991222,CARBSMART - BBQ Spice – 200ml,gid://shopify/ProductVariant/45995333353782,49.43,49.00,,
gid://shopify/Product/8538020544822,CARBSMART - Braai Salt – 200ml,gid://shopify/ProductVariant/45995352359222,48.67,48.00,,
gid://shopify/Product/8538023919926,CARBSMART - Chicken Spice – 200ml,gid://shopify/ProductVariant/45995365597494,49.31,49.00,,
gid://shopify/Product/8538025066806,CARBSMART - Sugar Free Chocolate Syrup – 30g,gid://shopify/ProductVariant/45995369070902,66.58,66.00,,
gid://shopify/Product/8538027524406,CARBSMART - Lemon & Herb Spice – 200ml,gid://shopify/ProductVariant/45995377066294,48.10,48.00,,
gid://shopify/Product/8538031128886,CARBSMART - Dark Chocolate Coated Macadamias – 80g,gid://shopify/ProductVariant/45995396792630,74.83,74.00,,
gid://shopify/Product/8538032505142,CARBSMART - White Chocolate Coated Macadamias  – 80g,gid://shopify/ProductVariant/45995412029750,74.83,74.00,,
gid://shopify/Product/8538033160502,CARBSMART - Chicken & Herb Soup - 4x17g Sachets,gid://shopify/ProductVariant/45995421401398,47.48,47.00,,
gid://shopify/Product/8538033520950,CARBSMART - Cream of Mushroom Soup - 4x17g Sachets,gid://shopify/ProductVariant/45995426906422,48.56,48.00,,
gid://shopify/Product/8538034012470,CARBSMART - Beef & Veg Soup - 4x17g Sachets,gid://shopify/ProductVariant/45995431756086,47.48,47.00,,
gid://shopify/Product/8538034340150,CARBSMART - Hearty Veg Soup - 4x17g Sachets,gid://shopify/ProductVariant/45995433197878,46.47,46.00,,
gid://shopify/Product/8538034635062,CARBSMART - Umami All Purpose Seasoning – 200ml,gid://shopify/ProductVariant/45995435950390,53.18,53.00,,
gid://shopify/Product/8538050986294,BRAGG - Liquid Aminos - 473ml,gid://shopify/ProductVariant/45995493654838,222.88,222.00,,
gid://shopify/Product/8538061209910,CARBSMART - Peri Peri Sauce - 330ml,gid://shopify/ProductVariant/45995517608246,68.45,68.00,,
gid://shopify/Product/8538063110454,CARBSMART - Mild Chutney - 375ml,gid://shopify/ProductVariant/45995519738166,60.11,60.00,,
gid://shopify/Product/8538067075382,CARBSMART - Original Balsamic Reduction - 150ml,gid://shopify/ProductVariant/45995526160694,66.12,66.00,,
gid://shopify/Product/8538068386102,CARBSMART - Thyme Infused Balsamic Reduction - 150ml,gid://shopify/ProductVariant/45995530191158,73.16,73.00,,
gid://shopify/Product/8538070450486,"CARBSMART - Balsamic Reduction – Garlic, Chilli & Ginger Infused - 150ml",gid://shopify/ProductVariant/45995533730102,73.16,73.00,,
gid://shopify/Product/8538072645942,BRAGG - Organic Raw Apple Cider Vinegar - 947ml,gid://shopify/ProductVariant/45995537924406,302.22,302.00,,
gid://shopify/Product/8538086506806,BRAGG - Organic Coconut Liquid Aminos - 296ml,gid://shopify/ProductVariant/45995583832374,238.96,238.00,,
gid://shopify/Product/8538094272822,CARBSMART - Extra Virgin Oil – 500ml,gid://shopify/ProductVariant/45995610439990,109.74,109.00,,
gid://shopify/Product/8545342226742,GOOD LIFE ORGANIC  - Organic Amalaki Antioxidant (Vit C) – 200g,gid://shopify/ProductVariant/46041559204150,133.53,133.00,,
gid://shopify/Product/8545394491702,GOOD LIFE ORGANIC - Organic Ashwagandha Adaptogen – 200g,gid://shopify/ProductVariant/46041818366262,162.21,162.00,,
gid://shopify/Product/8545409368374,GOOD LIFE ORGANIC  - Atlantic Sea Salt Coarse – 100g,gid://shopify/ProductVariant/46041927614774,39.30,39.00,,
gid://shopify/Product/8545411006774,GOOD LIFE ORGANIC  - Atlantic Sea Salt Coarse – 1Kg,gid://shopify/ProductVariant/46041938624822,73.04,73.00,,
gid://shopify/Product/8545426538806,GOOD LIFE ORGANIC  - Atlantic Sea Salt Fine – 1Kg,gid://shopify/ProductVariant/46042048069942,68.37,68.00,,
gid://shopify/Product/8545430634806,GOOD LIFE ORGANIC  - Atlantic Sea Salt Fine – 100g,gid://shopify/ProductVariant/46042075300150,20.93,20.00,,
gid://shopify/Product/8545436074294,GOOD LIFE ORGANIC  - Himalayan Salt Coarse – 1Kg,gid://shopify/ProductVariant/46042110525750,90.80,90.00,,
gid://shopify/Product/8545445282102,GOOD LIFE ORGANIC  - Himalayan Salt Coarse – 115g,gid://shopify/ProductVariant/46042172162358,31.39,31.00,,
gid://shopify/Product/8545449967926,GOOD LIFE ORGANIC  - Himalayan Salt Crystals – 115g,gid://shopify/ProductVariant/46042199294262,21.73,21.00,,
gid://shopify/Product/8545458749750,GOOD LIFE ORGANIC  - Himalayan Salt Crystals – 1Kg,gid://shopify/ProductVariant/46042250608950,90.80,90.00,,
gid://shopify/Product/8545498497334,GOOD LIFE ORGANIC  - Organic Black Peppercorns - 60g,gid://shopify/ProductVariant/46042495680822,52.32,52.00,,
gid://shopify/Product/8545517601078,GOOD LIFE ORGANIC  - Organic Bay Leaves - 10g,gid://shopify/ProductVariant/46042594083126,22.54,22.00,,
gid://shopify/Product/8545547813174,GOOD LIFE ORGANIC  - Organic Beetroot Powder - 200g,gid://shopify/ProductVariant/46042810450230,291.20,291.00,,
gid://shopify/Product/8545577304374,GOOD LIFE ORGANIC  - Organic Black Mustard Seeds - 70g,gid://shopify/ProductVariant/46042974617910,41.38,41.00,,
gid://shopify/Product/8616729608502,ECO VALLEY NUTRITION - 5HTP - 60 Capsules,gid://shopify/ProductVariant/46446245249334,239.92,239.00,,
gid://shopify/Product/8634447036726,ECO VALLEY NUTRITION - NAC - 60 Capsules,gid://shopify/ProductVariant/46557176037686,241.24,241.00,,
gid://shopify/Product/8634459259190,ECO VALLEY NUTRITION - Soft Iron Boost - 60 Capsules,gid://shopify/ProductVariant/46557277356342,234.66,234.00,,
gid://shopify/Product/8634472923446,ECO VALLEY NUTRITION - Test Up - 60 Capsules,gid://shopify/ProductVariant/46557388603702,311.81,311.00,,
