name,category,price_incl_vat_zar,in_stock,qty_on_hand,sku
10ML CLOVE BUD,Body Care,86.22,yes,12,6009704870500
10ML CUMIN OIL,Body Care,54.55,yes,1,6009704870562
10ML CYPRESS,Body Care,87.98,yes,4,6009704870579
10ML EUCAL GLOB,Body Care,42.23,yes,3,6009704870616
10ML EUCAL SMIT,Body Care,35.19,yes,9,6009704870630
10ML FENNEL SWT,Body Care,56.31,yes,4,6009704870739
10ML FRANK SERRATA,Body Care,119.82,yes,21,6009704873761
10ML FRANKINCENSE CARTERII,Body Care,397.66,yes,7,6009704870753
10ML GERANIUM,Body Care,161.88,yes,6,6009704870814
10ML GINGER,Body Care,133.72,yes,2,6009704870838
10ML GRAPE/F RUBY,Body Care,72.14,yes,5,6009704870876
10ML HELICHRYSUM,Body Care,209.38,yes,4,6009704870890
10ML JASMINE BLND,Body Care,116.13,yes,5,6009704870913
10ML JUNIPER,Body Care,119.65,yes,4,6009704870937
10ML LAVANDIN,Body Care,68.62,yes,2,6009704870975
10ML LAVENDER,Body Care,98.53,yes,4,6009704870951
10ML LEMON OIL,Body Care,47.51,yes,4,6009704870999
10ML LEMON VERB,Body Care,59.82,yes,1,6009800310320
10ML LEMONGRASS,Body Care,54.55,yes,3,6009704871019
10ML LIME OIL,Body Care,79.18,yes,5,6009704871057
10ML MELISSA,Body Care,59.82,yes,5,6009704871125
10ML MYRRH,Body Care,265.69,yes,6,6009704871149
10ML NEROLI,Body Care,107.33,yes,6,6009704871200
10ML NIAOULI,Body Care,42.23,yes,1,6009704871224
10ML NUTMEG OIL,Body Care,73.90,yes,3,6009704871248
10ML ORANGE SWT,Body Care,36.95,yes,5,6009704871279
10ML OREGANO OIL,Body Care,107.33,yes,6,6009704871293
10ML ORG BERGAMOT,Body Care,209.38,yes,2,6009704873341
10ML ORG CITRONELLA,Body Care,52.79,yes,2,6009704873365
10ML ORG EUCAL,Body Care,38.71,yes,1,6009704870654
10ML ORG L/GRASS,Body Care,61.58,yes,2,6009704873259
10ML ORG LEMON,Body Care,54.55,yes,1,6009704873556
10ML ORG PEPPERMINT,Body Care,77.42,yes,2,6009704873396
10ML ORG ROSEMARY,Body Care,116.13,yes,1,6009704871514
10ML ORG TEA TREE,Body Care,63.34,yes,2,6009704873419
10ML ORG Y/YLANG,Body Care,202.35,yes,1,6009704873433
10ML PALMAROSA,Body Care,82.70,yes,1,6009704871316
10ML PARSLEY SEED,Body Care,154.84,yes,1,6009704871330
10ML PATCHOULI,Body Care,139.00,yes,3,6009704871347
10ML PEPPERMINT OIL,Body Care,68.62,yes,8,6009704871361
